x_east_m,y_north_m,lat,lon,mnt_m,mns_m,mnh_m
-60.0,290.0,48.8130551,7.8508816,142.57,142.57,0.0
-50.0,290.0,48.8130551,7.851018,142.63,142.63,0.0
-40.0,290.0,48.8130551,7.8511544,142.87,156.32,13.45
-30.0,290.0,48.8130551,7.8512908,142.75,152.61,9.86
-20.0,290.0,48.8130551,7.8514272,142.72,156.96,14.24
-10.0,290.0,48.8130551,7.8515636,142.67,149.19,6.52
0.0,290.0,48.8130551,7.8517,142.61,160.43,17.82
10.0,290.0,48.8130551,7.8518364,142.6,160.44,17.84
20.0,290.0,48.8130551,7.8519728,142.62,157.1,14.48
30.0,290.0,48.8130551,7.8521092,142.49,159.77,17.28
40.0,290.0,48.8130551,7.8522456,142.59,154.9,12.31
50.0,290.0,48.8130551,7.852382,142.54,152.19,9.65
60.0,290.0,48.8130551,7.8525184,142.66,142.66,0.0
70.0,290.0,48.8130551,7.8526548,142.54,142.54,0.0
80.0,290.0,48.8130551,7.8527913,142.45,142.45,0.0
90.0,290.0,48.8130551,7.8529277,142.42,142.42,0.0
100.0,290.0,48.8130551,7.8530641,142.4,142.4,0.0
110.0,290.0,48.8130551,7.8532005,142.37,142.37,0.0
120.0,290.0,48.8130551,7.8533369,142.38,142.38,0.0
130.0,290.0,48.8130551,7.8534733,142.39,142.39,0.0
140.0,290.0,48.8130551,7.8536097,142.38,142.38,0.0
150.0,290.0,48.8130551,7.8537461,142.14,153.65,11.51
160.0,290.0,48.8130551,7.8538825,142.29,150.29,8.0
170.0,290.0,48.8130551,7.8540189,142.24,142.24,0.0
180.0,290.0,48.8130551,7.8541553,142.31,142.31,0.0
190.0,290.0,48.8130551,7.8542917,142.31,142.31,0.0
200.0,290.0,48.8130551,7.8544281,142.29,142.29,0.0
210.0,290.0,48.8130551,7.8545645,142.19,142.19,0.0
220.0,290.0,48.8130551,7.854701,142.27,142.27,0.0
230.0,290.0,48.8130551,7.8548374,142.11,142.11,0.0
240.0,290.0,48.8130551,7.8549738,142.12,142.12,0.0
250.0,290.0,48.8130551,7.8551102,142.16,142.44,0.28
260.0,290.0,48.8130551,7.8552466,142.03,142.03,0.0
270.0,290.0,48.8130551,7.855383,142.09,154.97,12.88
280.0,290.0,48.8130551,7.8555194,142.12,147.77,5.65
290.0,290.0,48.8130551,7.8556558,142.24,152.33,10.08
