Msg_id: 1, Timestamp: 238.421314, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.423875, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.423900, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.423913, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.426464, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.426485, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.426498, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.429152, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.429177, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.429190, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.431752, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.431777, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.431790, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.434328, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.434353, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.434366, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.437036, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.437061, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.437074, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.439581, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.439602, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.439615, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.442186, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.442211, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.442224, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.445024, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.445049, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.445061, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.447587, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.447612, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.447625, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.450251, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.450276, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.450289, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.452824, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.452845, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.452858, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.455524, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.455549, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.455562, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.458051, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.458075, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.458088, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.460688, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.460713, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.460726, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.463330, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.463356, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.463368, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.465924, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.465945, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.465958, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.468569, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.468594, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.468607, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.471212, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.471236, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.471249, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.473890, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.473915, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.473928, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.476465, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.476486, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.476499, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.479144, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.479169, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.479182, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.481750, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.481775, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.481788, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.484305, Beacon ID: 1632, Seen Count: 2
