time,ACT_1,ACT_2,ACT_3,ACT_4,ACT_5,ACT_6,rate_p,rate_q,rate_r,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,g1g2[1][4], g1g2[1][5],  g1g2[2][4], g1g2[2][5],airspeed,guidance_cmd.phi, guidance_cmd.theta, guidance_cmd.psi,sp_accel.x, sp_accel.y, sp_accel.z,speed_sp.x, speed_sp.y, speed_sp.z,use_increment,cmd_roll,cmd_pitch,cmd_thrust,cmd_psi
11.993652,4500.000000,4500.000000,-9600.000000,-9600.000000,1329.174683,-1276.012939,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.027344,0.000000,0.000000,-0.018089,-0.005074,0.001871,-0.008357,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
11.995606,4500.000000,4500.000000,-9600.000000,-9600.000000,1346.114502,-1292.949829,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.027344,0.000000,0.000000,-0.018158,-0.005074,0.001871,-0.008357,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
11.997561,4500.000000,4500.000000,-9600.000000,-9600.000000,1363.292358,-1310.120605,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.027344,0.000000,0.000000,-0.018200,-0.005074,0.001871,-0.008357,-0.004001,0.004001,0.000201,0.000201,0.182135,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
11.999514,4500.000000,4500.000000,-9600.000000,-9600.000000,1380.409790,-1327.367798,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.031250,0.000000,0.000000,-0.023724,-0.005074,0.001871,-0.008357,-0.004001,0.004001,0.000201,0.000201,0.182135,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
12.001468,4500.000000,4500.000000,-9600.000000,-9600.000000,1398.043701,-1344.994385,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.031250,0.000000,0.000000,-0.023859,-0.005074,0.001871,-0.008357,-0.004001,0.004001,0.000201,0.000201,0.182135,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
12.003422,4500.000000,4500.000000,-9600.000000,-9600.000000,1415.903809,-1362.837158,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.031250,0.000000,0.000000,-0.023886,-0.005074,0.001871,-0.008357,-0.004001,0.004001,0.000201,0.000201,0.182135,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
12.005376,4500.000000,4500.000000,-9600.000000,-9600.000000,1433.973755,-1380.900635,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.031250,0.000000,0.000000,-0.023668,-0.005074,0.001871,-0.008357,-0.004001,0.004001,0.000201,0.000201,0.182135,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
12.007330,4500.000000,4500.000000,-9600.000000,-9600.000000,1452.259399,-1399.165649,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.031250,0.000000,0.000000,-0.023727,-0.005074,0.001871,-0.008357,-0.004000,0.004000,0.000200,0.000200,0.060522,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008367
12.009284,4500.000000,4500.000000,-9600.000000,-9600.000000,1498.138184,-1390.669556,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.029324,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.060522,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.011238,4500.000000,4500.000000,-9600.000000,-9600.000000,1516.823853,-1409.338379,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.029329,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.060522,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
